target_chamber,target_plan_id,plan_label,reference_vintage,first_election,last_election,producer,source_url,sha256,relative_path,archive_member,district_field,published_crs,normalization
house,pa_house_1991_final,1991 Final State House plan,1991,1992,2000,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/House/1991/SHAPE/PA-House-Districts-1991.zip,8c8602941626d1ae41d2366ca673ca22a3a4dfb01f45a8ce91090cc4873f078a,data/raw/pa_house_plans/1991/PA-House-Districts-1991.zip,PA-House-Districts-1991.shp,SLDL,EPSG:4269,assign published NAD83 CRS; make valid; dissolve multipart district rows
senate,pa_senate_1991_final,1991 Final State Senate plan,1991,1992,2000,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/Senate/1991/SHAPE/PA-Senate-Districts-1991.zip,f7dd6a06d3ce24aafa5addce2fddc9772664fa6358cd6f85cc6e00afc9a87e6f,data/raw/pa_senate_plans/1991/PA-Senate-Districts-1991.zip,1991SenateDistrictShapeFile.shp,District_1,EPSG:4269,make valid; dissolve multipart district rows
house,pa_house_2001_final,2001 Final State House plan,2001,2002,2012,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/House/2001/SHAPE/PA-House-Districts-2001.zip,abfe5e698a6dd850514ae586bce2bcd3c71ddf6e383e42be372a08da88e8c4df,data/raw/pa_house_plans/2001/PA-House-Districts-2001.zip,PA-House-Districts-2001.shp,LEG_DISTRI,EPSG:4269,make valid; dissolve multipart district rows
senate,pa_senate_2001_final,2001 Final State Senate plan,2001,2002,2012,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/Senate/2001/SHAPE/PA-Senate-Districts-2001.zip,01319695d77d9ad1d787549332e8d3f236cae9510411a9cc7d9e538c500b17d4,data/raw/pa_senate_plans/2001/PA-Senate-Districts-2001.zip,2001SenateDistrictShapeFile.shp,District_1,EPSG:4269,make valid; dissolve multipart district rows
house,pa_house_2012_revised_final,2012 Revised Final State House plan,2012,2014,2020,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/House/2011-Revised-final/SHAPE/2011-Revised-final-Plan-SHAPEFILES-House.zip,9e61c2da6d42c65562d05e050de283e29b62a1b7ab11975b05910930db9be5fe,data/raw/pa_house_plans/2012_revised_final/2011-Revised-final-Plan-SHAPEFILES-House.zip,House2012Final.shp,District_N,EPSG:4269,make valid; dissolve multipart district rows
senate,pa_senate_2012_revised_final,2012 Revised Final State Senate plan,2012,2014,2020,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/senate/2011-Revised-final/SHAPE/FinalSenatePlan2012.zip,801da910909aea05be2201b755fcaa0fd3f890d9b438ace641250f4037105b04,data/raw/pa_senate_plans/2012_revised_final/FinalSenatePlan2012.zip,FinalSenatePlan2012.shp,District_1,EPSG:4269,make valid; dissolve multipart district rows
house,pa_house_2021_final,2021 Final State House plan,2021,2022,2026,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/House/2021-Final/SHAPE/2022%20LRC-House-Final.zip,11960e83f61416276d46205785adaf5dee1995ab21f05a1b5113b649e6c329f6,data/raw/pa_house_plans/2021_final/2022 LRC-House-Final.zip,2022 LRC-House-Final.shp,DISTRICT,EPSG:4269,make valid; dissolve multipart district rows
senate,pa_senate_2021_final,2021 Final State Senate plan,2021,2022,2026,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/Senate/2021-Final/SHAPE/2022%20LRC-Senate-Final.zip,4dcfd5f111ddf7de58484585205ecc5b01631e4a1b20c0745889f741ec137e14,data/raw/pa_senate_plans/2021_final/2022 LRC-Senate-Final.zip,2022 LRC-Senate-Final.shp,DISTRICT,EPSG:4269,make valid; dissolve multipart district rows
