senate_plan_id,plan_label,first_election,last_election,source_status,producer,source_url,sha256,crs,notes
pa_senate_1981_plan,1981 State Senate plan,1990,1990,confirmed,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/Senate/1981/SHAPE/1981SenateDistrictShapeFile.zip,f12d88b92ad5c63ee00038ca92d294df1d1e9eee6091bcc0889384148b6f0388,EPSG:4269,POC022 source and overlay gates passed
pa_senate_1991_final,1991 Final State Senate plan,1992,2000,confirmed,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/Senate/1991/SHAPE/PA-Senate-Districts-1991.zip,f7dd6a06d3ce24aafa5addce2fddc9772664fa6358cd6f85cc6e00afc9a87e6f,EPSG:4269,POC022 passed after recorded make_valid repair of District 48
pa_senate_2001_final,2001 Final State Senate plan,2002,2012,confirmed,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/Senate/2001/SHAPE/PA-Senate-Districts-2001.zip,01319695d77d9ad1d787549332e8d3f236cae9510411a9cc7d9e538c500b17d4,EPSG:4269,POC022 passed; also used for 2012 after the initial post-2010 plan was rejected
pa_senate_2012_revised_final,2012 Revised Final State Senate plan,2014,2020,confirmed,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/senate/2011-Revised-final/SHAPE/FinalSenatePlan2012.zip,801da910909aea05be2201b755fcaa0fd3f890d9b438ace641250f4037105b04,EPSG:4269,POC022 passed with explicit District 1/8 overlap normalization confirmed against official KML and legal description
pa_senate_2021_final,2021 Final State Senate plan,2022,2026,confirmed,Pennsylvania Legislative Reapportionment Commission,https://www.redistricting.state.pa.us/Resources/GISData/Districts/Legislative/Senate/2021-Final/SHAPE/2022%20LRC-Senate-Final.zip,4dcfd5f111ddf7de58484585205ecc5b01631e4a1b20c0745889f741ec137e14,EPSG:4269,POC022 passed; 9178 fixed precincts each map to one district
